doc_text,name,lat,lon,country_code3,admin1_name,admin2_name,feature_code,start_char,end_char
S/2021/451_PAR_9_SEN_1,"From 23 to 30 March, my Special Envoy travelled to Libya to encourage the implementation of the Libyan Political Dialogue Forum road map, in particular to mobilize the support and resources required to hold national elections on 24 December.",Libya,28.0,17.0,LBY,,,PCLI,51,56
S/2021/451_PAR_9_SEN_3,"He also met with the Chair of the High National Elections Commission to follow up on technical preparations for the elections and the international support required, and with representative s of civil society organizations and women’s groups in Tripoli and Misratah.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,245,252
S/2021/451_PAR_9_SEN_3,"He also met with the Chair of the High National Elections Commission to follow up on technical preparations for the elections and the international support required, and with representative s of civil society organizations and women’s groups in Tripoli and Misratah.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,257,265
S/2021/451_PAR_10_SEN_1,"Meanwhile, in response to the request made in the letter dated 4 February 2021 from the President of the Security Council addressed to the Secretary -General (S/2021/110 ), the Libya planning team at United Nations Headquarters established a multidisciplinary and inter -agency advance team.",Libya,28.0,17.0,LBY,,,PCLI,177,182
S/2021/451_PAR_10_SEN_2,"From 3 to 28 March, the advance team conducted consultations with relevant stakeholders, inclu ding the 5+5 Joint Military Commission, in Benghazi, Misratah, Sirte and Tripoli.",Benghazi,32.11486,20.06859,LBY,Banghāzī,,PPLA,138,146
S/2021/451_PAR_10_SEN_2,"From 3 to 28 March, the advance team conducted consultations with relevant stakeholders, inclu ding the 5+5 Joint Military Commission, in Benghazi, Misratah, Sirte and Tripoli.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,148,156
S/2021/451_PAR_10_SEN_2,"From 3 to 28 March, the advance team conducted consultations with relevant stakeholders, inclu ding the 5+5 Joint Military Commission, in Benghazi, Misratah, Sirte and Tripoli.",Sirte,31.20892,16.58866,LBY,Surt,,PPLA,158,163
S/2021/451_PAR_10_SEN_2,"From 3 to 28 March, the advance team conducted consultations with relevant stakeholders, inclu ding the 5+5 Joint Military Commission, in Benghazi, Misratah, Sirte and Tripoli.",Tripolitania,31.0,15.0,LBY,,,RGN,168,175
S/2021/451_PAR_11_SEN_1,"On 22 March, I submitted to the Security Council a progress report on the proposed ceasefire monitoring arrangements in Libya ( S/2021/281 ).",Libya,28.0,17.0,LBY,,,PCLI,120,125
S/2021/451_PAR_12_SEN_1,"While the ceasefire agreement continued to hold, UNSMIL received reports of fortifications and defensive positions being established along the Sirte -Jufrah axis in central Libya, and of the continued presence of foreign elements and assets.",Syrian Arab Republic,35.0,38.0,SYR,,,PCLI,143,156
S/2021/451_PAR_12_SEN_1,"While the ceasefire agreement continued to hold, UNSMIL received reports of fortifications and defensive positions being established along the Sirte -Jufrah axis in central Libya, and of the continued presence of foreign elements and assets.",Libya,28.0,17.0,LBY,,,PCLI,173,178
S/2021/451_PAR_12_SEN_3,Reports indicated that there was no reduction in the number of foreign fighters or in their activities in central Libya.,Libya,28.0,17.0,LBY,,,PCLI,114,119
S/2021/451_PAR_12_SEN_4,"Implementation of the intra -Libyan dialogue tracks, facilitated by the United Nations Support Mission in Libya",Libya,28.0,17.0,LBY,,,PCLI,106,111
S/2021/451_PAR_14_SEN_1,"On 19 January, the Libyan Political Dialogue Forum voted to approve the proposed selection mechanism for a new interim executive authority to govern Libya in the lead -up to the national electio ns, with 73 per cent of the votes in favour.",Libya,28.0,17.0,LBY,,,PCLI,149,154
S/2021/451_PAR_15_SEN_1,"From 1 to 5 February, UNSMIL convened the Libyan Political Dialogue Forum in Geneva, with the support of the Government of Switzerland.",Genève,46.20222,6.14569,CHE,Geneva,Geneva,PPLA,77,83
S/2021/451_PAR_16_SEN_1,"From 8 to 12 February, the Constitutional Committee established by the House of Representatives and the High State Council to determine a constitutional basis for the national elections met in Hurghada, Egypt.",Hurghada,27.25738,33.81291,EGY,Red Sea,,PPLA,193,201
S/2021/451_PAR_16_SEN_1,"From 8 to 12 February, the Constitutional Committee established by the House of Representatives and the High State Council to determine a constitutional basis for the national elections met in Hurghada, Egypt.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,203,208
S/2021/451_PAR_19_SEN_1,"From 7 to 9 April, UNSMIL convened a meeting of the legal committee of the Libyan Political Dialogue Forum in Tunis.",Tunis,36.81897,10.16579,TUN,Tūnis,,PPLC,110,115
S/2021/451_PAR_20_SEN_2,"On that day, 107 combatants from the western region, who had been capt ured by the Zawiyah Security Directorate, were released by the municipality of Zawiyah.",Zuwayyah,32.25,45.95,IRQ,Wāsiţ,Al-Hai District,PPL,150,157
S/2021/451_PAR_20_SEN_3,"The following day, the Libyan National Army Command approved the release of 8 women from Grenada prison in the east, in addition to 27 other detainees from the east.",Granada,11.92988,-85.95602,NIC,Granada Department,,PPLA,89,96
S/2021/451_PAR_20_SEN_4,"Subsequently, the Command released a total of over 200 detainees, mostly from the eastern city of Darnah, in various batches.",Darnah,32.76704,22.63669,LBY,Darnah,,PPLA,98,104
S/2021/451_PAR_21_SEN_1,"The 5+5 Joint Military Commission continued to provide leadership and build confidence among the parties, including by providing security assurances for the meeting of the House of Representatives in Sirte from 8 to 10 March.",Sirte,31.20892,16.58866,LBY,Surt,,PPLA,200,205
S/2021/451_PAR_21_SEN_3,"It also continued to work towards the reopening of the coastal road connec ting Misratah with eastern Libya, to prepare for ceasefire monitoring and the deployment of joint security forces, and to advocate the withdrawal of foreign fighters and mercenaries from the country.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,80,88
S/2021/451_PAR_21_SEN_3,"It also continued to work towards the reopening of the coastal road connec ting Misratah with eastern Libya, to prepare for ceasefire monitoring and the deployment of joint security forces, and to advocate the withdrawal of foreign fighters and mercenaries from the country.",Libya,28.0,17.0,LBY,,,PCLI,102,107
S/2021/451_PAR_21_SEN_5,They also met with my Special Envoy on 27 April in Sirte to discuss progress in ceasefire implementation and the remaining steps required to reopen the coastal road.,Sirte,31.20892,16.58866,LBY,Surt,,PPLA,51,56
S/2021/451_PAR_21_SEN_6,International Follow -up Committee on Libya,Libya,28.0,17.0,LBY,,,PCLI,38,43
S/2021/451_PAR_22_SEN_3,"On 21 April, the Minister for Foreign Affairs of Germany, Heiko Maas, delivered opening remarks and Mr. Dbeibah provided an update on developments since the sweari ng-in of the Government of National Unity on 10 March.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,49,56
S/2021/451_PAR_22_SEN_4,"In a joint statement, the co -chairs of the Committee, namely, my Special Envoy and Germany, noted that holding elections was the primary Page 5 task of the interim executive authority and other relevant insti tutions, and called on the House of Representatives to clarify and enact, at the latest by 1 July, the constitutional basis and legal framework for elections.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,84,91
S/2021/451_PAR_22_SEN_5,"They emphasized that the full implementation of the ceasefire agreement remained critical and urg ed all actors to expedite the withdrawal of all foreign forces and mercenaries from Libya without delay, and to fully comply with the United Nations arms embargo.",Libya,28.0,17.0,LBY,,,PCLI,182,187
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",Republic of France,46.0,2.0,FRA,,,PCLI,43,49
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",Italian Republic,42.83333,12.83333,ITA,,,PCLI,51,56
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,58,64
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",United Kingdom of Great Britain and Northern Ireland,54.75844,-2.69531,GBR,,,PCLI,66,84
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",United Kingdom of Great Britain and Northern Ireland,54.75844,-2.69531,GBR,,,PCLI,88,101
S/2021/451_PAR_23_SEN_1,"The security working group, co -chaired by France, Italy, Turkey, the United Kingdom of Great Britain and Northern Ireland, and the African U nion, held seven meetings during the reporting period, including one with the participation of the 5+5 Joint Military Commission.",Northern Ireland,54.5,-6.5,GBR,Northern Ireland,,ADM1,106,122
S/2021/451_PAR_24_SEN_1,"On 2 1 January, the economic working group, co -chaired by Egypt, the United States of America and the European Union, convened a plenary meeting with the Governor of the Central Bank of Libya and the two ministers of finance to seek agreement on unifying the bu dget under the facilitation of UNSMIL.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,59,64
S/2021/451_PAR_24_SEN_1,"On 2 1 January, the economic working group, co -chaired by Egypt, the United States of America and the European Union, convened a plenary meeting with the Governor of the Central Bank of Libya and the two ministers of finance to seek agreement on unifying the bu dget under the facilitation of UNSMIL.",United States,39.76,-98.5,USA,,,PCLI,66,94
S/2021/451_PAR_25_SEN_1,"The political working group, co -chaired by Algeria, Germany and the League of Arab States, convened three plenary sessions to review the progress achieved by the Libyan Po litical Dialogue Forum and the efforts of the unified interim executive authority.",People’s Democratic Republic of Algeria,28.0,3.0,DZA,,,PCLI,44,51
S/2021/451_PAR_25_SEN_1,"The political working group, co -chaired by Algeria, Germany and the League of Arab States, convened three plenary sessions to review the progress achieved by the Libyan Po litical Dialogue Forum and the efforts of the unified interim executive authority.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,53,60
S/2021/451_PAR_26_SEN_1,"The international humanitarian law and human rights working group, co -chaired by the Netherlands and Switzerland, convened three plenary sessions.",Kingdom of the Netherlands,52.25,5.75,NLD,,,PCLI,86,97
S/2021/451_PAR_26_SEN_1,"The international humanitarian law and human rights working group, co -chaired by the Netherlands and Switzerland, convened three plenary sessions.",Switzerland,47.00016,8.01427,CHE,,,PCLI,102,113
S/2021/451_PAR_27_SEN_2,Egypt hosted the meeting of the Constitutional Committee of the House of Representatives and the High State Council from 8 to 12 February in Hurghada to formulate proposals on a constitutional basis for elections.,Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,0,5
S/2021/451_PAR_27_SEN_2,Egypt hosted the meeting of the Constitutional Committee of the House of Representatives and the High State Council from 8 to 12 February in Hurghada to formulate proposals on a constitutional basis for elections.,Hurghada,27.25738,33.81291,EGY,Red Sea,,PPLA,141,149
S/2021/451_PAR_27_SEN_3,"On 17 March, the President of Tunisia, Kaïs Saïed , became the first foreign head of State to visit Tripoli since the election of the new G overnment of National Unity.",Republic of Tunisia,34.0,9.0,TUN,,,PCLI,30,37
S/2021/451_PAR_27_SEN_3,"On 17 March, the President of Tunisia, Kaïs Saïed , became the first foreign head of State to visit Tripoli since the election of the new G overnment of National Unity.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,100,107
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Republic of France,46.0,2.0,FRA,,,PCLI,39,45
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,47,54
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Italian Republic,42.83333,12.83333,ITA,,,PCLI,59,64
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,89,94
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Hellenic Republic,39.0,22.0,GRC,,,PCLI,96,102
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Italian Republic,42.83333,12.83333,ITA,,,PCLI,104,109
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Republic of Malta,35.91667,14.43333,MLT,,,PCLI,115,120
S/2021/451_PAR_27_SEN_4,"Subsequently, the Foreign Ministers of France, Germany and Italy, the Prime Ministers of Egypt, Greece, Italy, and Malta, and the President of the European Council visited Tripoli.",Tripolitania,31.0,15.0,LBY,,,RGN,172,179
S/2021/451_PAR_27_SEN_5,Several embassies have relocated to Tripoli or are in the process of doing so.,Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,36,43
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,30,35
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",Republic of France,46.0,2.0,FRA,,,PCLI,37,43
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,48,54
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",State of Kuwait,29.5,47.75,KWT,,,PCLI,91,97
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",Russian Federation,60.0,100.0,RUS,,,PCLI,99,121
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,123,129
S/2021/451_PAR_28_SEN_1,"Mr. Menfi undertook visits to Egypt, France and Turkey in March, while Mr. Dbeibah visited Kuwait, the Russian Federation, Turkey and the United Arab Emirates in early April.",United Arab Emirates,23.75,54.5,ARE,,,PCLI,134,158
S/2021/451_PAR_28_SEN_2,"On 13 April, Mr. Dbeibah and a large delegat ion of ministers from the Government of National Unity travelled to Ankara for a two -day visit.",Ankara,39.91987,32.85427,TUR,Ankara,,PPLC,113,119
S/2021/451_PAR_29_SEN_1,"My Special Envoy held consultations, virtually and in person, with senior representatives of Member States participating in the Berlin process and other stakeholders.",Berlin,52.52437,13.41053,DEU,Berlin,,PPLC,128,134
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,28,33
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Republic of France,46.0,2.0,FRA,,,PCLI,35,41
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,43,50
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Italian Republic,42.83333,12.83333,ITA,,,PCLI,52,57
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Russian Federation,60.0,100.0,RUS,,,PCLI,59,81
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Republic of Tunisia,34.0,9.0,TUN,,,PCLI,83,90
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,92,98
S/2021/451_PAR_29_SEN_2,"He also undertook visits to Egypt, France, Germany, Italy, the Russian Federation, Tunisia, Turkey and the United Arab Emirates.",United Arab Emirates,23.75,54.5,ARE,,,PCLI,103,127
S/2021/451_PAR_29_SEN_3,"At his meetings, the Special Envoy highlighted the importance of advancing the three -track intra -Libyan dialogues, i ncluding the full implementation of the Libyan Political Dialogue Forum road map, and the critical importance of holding national parliamentary and presidential elections on 24 December and supporting the new interim executive in its efforts to unify Libya and its institutions.",Libya,28.0,17.0,LBY,,,PCLI,370,375
S/2021/451_PAR_30_SEN_1,"On 26 March, the European Union renewed the mandate of its military operation in the Mediterranean for two years, until 31 March 2023.",Mediterranean Sea,35.0,20.0,NA,,,SEA,85,98
S/2021/451_PAR_31_SEN_2,"From 11 to 13 April, he held consultations in Addis Ababa with senior African Union officials.",Addis Ababa,9.02497,38.74689,ETH,Addis Ababa,,PPLC,46,57
S/2021/451_PAR_31_SEN_3,"On 15 April, he met with the Secretary -General of the League of Arab States in Cairo.",Cairo,30.06263,31.24967,EGY,Cairo,,PPLC,80,85
S/2021/451_PAR_33_SEN_1,Latent rivalry and renewed competition among armed groups resurfaced in Tripoli and the western region in the lead -up to and following the selection of a new executive authority by the Libyan Political Dialogue Forum.,Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,72,79
S/2021/451_PAR_33_SEN_2,"Ahead of the meeting of the Forum in Geneva from 1 to 5 February, some Tripoli -based armed groups and the armed groups from western Libya issued a statement on 31 January urging the then President of the Presidency Council to reunite the Council and form a national unity Government until the elections on 24 December.",Genève,46.20222,6.14569,CHE,Geneva,Geneva,PPLA,37,43
S/2021/451_PAR_33_SEN_2,"Ahead of the meeting of the Forum in Geneva from 1 to 5 February, some Tripoli -based armed groups and the armed groups from western Libya issued a statement on 31 January urging the then President of the Presidency Council to reunite the Council and form a national unity Government until the elections on 24 December.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,71,78
S/2021/451_PAR_33_SEN_2,"Ahead of the meeting of the Forum in Geneva from 1 to 5 February, some Tripoli -based armed groups and the armed groups from western Libya issued a statement on 31 January urging the then President of the Presidency Council to reunite the Council and form a national unity Government until the elections on 24 December.",Libya,28.0,17.0,LBY,,,PCLI,133,138
S/2021/451_PAR_33_SEN_4,"On 21 February, a security incident in Tripoli’s Janzur district, involving the security staff of the then Minister of the Interior, Mr. Bashagha, and members of the Stability Support Apparatus, left one person dead and another injured.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,39,46
S/2021/451_PAR_33_SEN_4,"On 21 February, a security incident in Tripoli’s Janzur district, involving the security staff of the then Minister of the Interior, Mr. Bashagha, and members of the Stability Support Apparatus, left one person dead and another injured.",,,,,,,,49,55
S/2021/451_PAR_34_SEN_1,"On 23 January, demonstrations by families of victims of human rights violations in Tarhunah resulted in vandalism and the burning of five unoccupied houses belonging to two pro -Libyan National Army families and supporters of the Ninth Brigade.",Tarhuna,32.43501,13.6332,LBY,Al Marqab,,PPL,83,91
S/2021/451_PAR_34_SEN_2,"Additional mass graves were discovered in Tarhunah during the reporting period, bringing the total number of graves discovered to 101.",Tarhuna,32.43501,13.6332,LBY,Al Marqab,,PPL,42,50
S/2021/451_PAR_35_SEN_1,"In eastern Libya, there were continued reports of criminal activity , including killings, kidnappings for ransom, carjackings and extortion.",Libya,28.0,17.0,LBY,,,PCLI,11,16
S/2021/451_PAR_35_SEN_3,"On 28 February, the Libyan National Army dispatched a larg e military force from its 166th Infantry Battalion to Darnah, east of Benghazi, reportedly to establish law and order and target Islamic State in Iraq and the Levant (ISIL) elements still operating in the area.",Darnah,32.76704,22.63669,LBY,Darnah,,PPLA,113,119
S/2021/451_PAR_35_SEN_3,"On 28 February, the Libyan National Army dispatched a larg e military force from its 166th Infantry Battalion to Darnah, east of Benghazi, reportedly to establish law and order and target Islamic State in Iraq and the Levant (ISIL) elements still operating in the area.",Benghazi,32.11486,20.06859,LBY,Banghāzī,,PPLA,129,137
S/2021/451_PAR_35_SEN_3,"On 28 February, the Libyan National Army dispatched a larg e military force from its 166th Infantry Battalion to Darnah, east of Benghazi, reportedly to establish law and order and target Islamic State in Iraq and the Levant (ISIL) elements still operating in the area.",Republic of Iraq,33.0,44.0,IRQ,,,PCLI,205,209
S/2021/451_PAR_35_SEN_4,"On 2 March, protestors stormed the Central Ba nk of Libya branch in Benghazi.",Benghazi,32.11486,20.06859,LBY,Banghāzī,,PPLA,68,76
S/2021/451_PAR_36_SEN_1,"On 24 March, Mahmoud al -Werfalli, a commander in the Al -Saiqa Brigade, which is affiliated with the Libyan National Army, who had been indi cted by the International Criminal Court for war crimes, was shot dead in Benghazi.",Benghazi,32.11486,20.06859,LBY,Banghāzī,,PPLA,216,224
S/2021/451_PAR_37_SEN_2,"On 16 February, UNSMIL condemned what appeared to be a targeted mortar attack in the city of Sabha during a celebration held to mark the tenth anniversary of the February Revolution.",Sabhā,27.03766,14.42832,LBY,Sabhā,,PPLA,93,98
S/2021/451_PAR_38_SEN_1,"The Libyan National Army increased its activities and assets at airbases in the region, in part because of recent events in Chad.",Republic of Chad,15.0,19.0,TCD,,,PCLI,124,128
S/2021/451_PAR_38_SEN_2,"Over the past several months, the Libyan National Army has continued to operate mostly in the areas aroun d the Sharara oil field, Awbari and the Shati’ junction checkpoints, maintaining control over key points of access to the southern region.",Sharārah,27.96667,30.85,EGY,Minya,,PPL,112,119
S/2021/451_PAR_38_SEN_2,"Over the past several months, the Libyan National Army has continued to operate mostly in the areas aroun d the Sharara oil field, Awbari and the Shati’ junction checkpoints, maintaining control over key points of access to the southern region.",Ubari,26.59034,12.77511,LBY,Wādī al Ḩayāt,,PPLA,131,137
S/2021/451_PAR_38_SEN_2,"Over the past several months, the Libyan National Army has continued to operate mostly in the areas aroun d the Sharara oil field, Awbari and the Shati’ junction checkpoints, maintaining control over key points of access to the southern region.",Wādī ash Shāţi’,27.8,12.73333,LBY,Ash Shāţiʼ,,ADM1,146,151
S/2021/451_PAR_39_SEN_2,Islamic State in Iraq and the Levant in Libya and Organization of Al -Qaida in the Islamic Maghreb,Republic of Iraq,33.0,44.0,IRQ,,,PCLI,17,21
S/2021/451_PAR_39_SEN_2,Islamic State in Iraq and the Levant in Libya and Organization of Al -Qaida in the Islamic Maghreb,Libya,28.0,17.0,LBY,,,PCLI,40,45
S/2021/451_PAR_40_SEN_1,"Although no operations were attributed to them over the past several months, ISIL and a support network of the Organization of Al -Qaida in the Islamic Maghreb remained a threat in Libya.",Libya,28.0,17.0,LBY,,,PCLI,181,186
S/2021/451_PAR_40_SEN_2,"Their presence and activities in Libya represent a direct threat against civilian targets, government institutions and the United Nations.",Libya,28.0,17.0,LBY,,,PCLI,33,38
S/2021/451_PAR_40_SEN_4,"In early March, the Joint Security Ro om of the Government of National Accord coordinated a counter -terrorism operation in southern Tripoli, which led to the arrest of elements reportedly affiliated with ISIL.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,133,140
S/2021/451_PAR_40_SEN_5,"On 14 March, the Libyan National Army announced that its forces had carried out an o peration in southern Libya, which led to the arrest of a prominent ISIL leader, Muhammad Miloud Muhammad.",Libya,28.0,17.0,LBY,,,PCLI,106,111
S/2021/451_PAR_40_SEN_6,"Separately, a member of the Organization of Al -Qaida in the Islamic Maghreb who had participated in the attack on the Birak al -Shati’ airbase on 18 Ma y 2017, Omar Abdeen al-Mahmoudi, was shot and killed during a family dispute.",Jerusalem,31.76904,35.21633,ISR,Jerusalem,,PPLA,115,143
S/2021/451_PAR_43_SEN_3,"The UNDP electoral assistance project entitled “Promoting electi ons for the people of Libya” initiated a procurement process for purchasing 12,000 ballot boxes to be used in the elections.",Libya,28.0,17.0,LBY,,,PCLI,87,92
S/2021/451_PAR_44_SEN_3,"On 23 March, Mr. Dbeibah visited the headquarters of the Commission in Tripoli, where he conveyed to the Chair the commitment of the Page 9 Government of National Unity to supporting the Commission in fulfilling its mandate, in line with the electoral legislation, once issued.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,71,78
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",,,,,,,,108,114
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",Key West,24.55524,-81.78163,USA,Florida,Monroe County,PPLA2,116,128
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",Qaşr al Qarabūllī,32.74506,13.71467,LBY,Tripoli,,PPL,130,139
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",Zliten,32.46739,14.56874,LBY,Mişrātah,,PPL,154,160
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",Şabrātah,32.79335,12.48845,LBY,Az Zāwiyah,,PPL,162,170
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",,,,,,,,175,190
S/2021/451_PAR_45_SEN_1,"In January and February, mayoral elections were completed for the eight newly elected municipal councils of Rujban, Zawiyah West, Qarabulli, Qasr Khiyar, Zlitan, Sabratah and Sawani Bin Adam, as well as Tripoli Centre.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,203,210
S/2021/451_PAR_45_SEN_2,Municipal elections for the Greater Tripoli municipality of Suq al -Jum‘ah were held on 3 April.,Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,28,43
S/2021/451_PAR_45_SEN_2,Municipal elections for the Greater Tripoli municipality of Suq al -Jum‘ah were held on 3 April.,Sūq al Jum‘ah,19.21667,41.31667,SAU,,,PPL,60,74
S/2021/451_PAR_47_SEN_1,"On 2 February, UNSMIL conducted a joint mission with the United Nations Children’s Fund (UNICEF) to the Judaydah detention centre in Tripoli to assess the situation of women and children detained for their alleged affiliation with ISIL.",Judaydah,36.19454,36.4131,SYR,Idlib,,PPL,104,112
